编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1791,深圳市二十四番商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao椿生纪旗舰店"，"点我对话"),椿生纪旗舰店,椿生纪旗舰店,,,,,https://shop111442555.taobao.com,,,5248293.00,辽宁,针织女,,4.90193分,22.88%,4.90018分,40.79%,4.89492分,34.16%,,,,,,,,,,
1792,深圳市妮纳贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojnina旗舰店"，"点我对话"),jnina旗舰店,jnina旗舰店,,,,,https://shop113608867.taobao.com,,,605527.00,辽宁,针织女,,4.9603分,68.78%,4.92556分,55.85%,4.933分,58.02%,,,,,,,,,,
1793,深圳市嘉汶服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡汶旗舰店"，"点我对话"),卡汶旗舰店,卡汶旗舰店,,,,,https://shop61722408.taobao.com,,,0,辽宁,针织女,,4.93791分,51.18%,4.93194分,59.63%,4.94687分,66.70%,,,,,,,,,,
1794,深圳市正浩鑫华科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao茜踏女装旗舰店"，"点我对话"),茜踏女装旗舰店,茜踏女装旗舰店,,,,,https://shop288271012.taobao.com,,,914642.50,辽宁,针织女,,4.86235分,0%,4.77283分,1.21%,4.78887分,1.07%,,,,,,,,,,
1795,深圳市嘉泰服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao曼娅奴旗舰店"，"点我对话"),曼娅奴旗舰店,曼娅奴旗舰店,,,,,https://shop64583381.taobao.com,,,0,辽宁,针织女,,4.88982分,13.37%,4.86634分,20.71%,4.87356分,20.76%,,,,,,,,,,
1796,深圳市阔太电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阔太旗舰店"，"点我对话"),阔太旗舰店,阔太旗舰店,0755-21536336,,,,https://shop70710339.taobao.com,,,0,辽宁,针织女,,4.90511分,25.40%,4.89322分,36.66%,4.90269分,39.01%,,,,,,,,,,
1797,广州东网贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宜逅旗舰店"，"点我对话"),宜逅旗舰店,宜逅旗舰店,,,,,https://shop512626330.taobao.com,,,43018.00,辽宁,针织女,,4.90455分,24.94%,4.86364分,19.12%,4.81818分,0%,,,,,,,,,,
1798,深圳市依来秀服装服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosaters赛缇诗旗舰店"，"点我对话"),saters赛缇诗旗舰店,saters赛缇诗旗舰店,,,,,https://shop116101624.taobao.com,,,0,辽宁,针织女,,4.90611分,26.17%,4.8286分,0%,4.86135分,13.13%,,,,,,,,,,
1799,深圳市加尔恩贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英姿仪旗舰店"，"点我对话"),英姿仪旗舰店,英姿仪旗舰店,,,,,https://shop212652795.taobao.com,,,0,辽宁,针织女,,4.80243分,1.44%,4.77051分,1.26%,4.79326分,0.97%,,,,,,,,,,
1800,深圳东方逸尚服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoomnialuo欧柏兰奴旗舰店"，"点我对话"),omnialuo欧柏兰奴旗舰店,omnialuo欧柏兰奴旗舰店,,,,,https://shop105302538.taobao.com,,,0,辽宁,针织女,,4.91658分,34.40%,4.90726分,44.99%,4.921分,50.50%,,,,,,,,,,
1801,深圳市厚构想服装设计有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao后构想女装旗舰店"，"点我对话"),后构想女装旗舰店,后构想女装旗舰店,,,,,https://shop57301731.taobao.com,,,5392443.00,辽宁,针织女,,4.88757分,11.60%,4.8548分,13.86%,4.86508分,15.44%,,,,,,,,,,
1802,深圳时尚前沿时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozk旗舰店"，"点我对话"),zk旗舰店,zk旗舰店,,,,,https://shop100163346.taobao.com,,,0,辽宁,针织女,,4.84296分,0.61%,4.83041分,0%,4.84721分,4.24%,,,,,,,,,,
1803,深圳市新因为时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozolle服饰旗舰店"，"点我对话"),zolle服饰旗舰店,zolle服饰旗舰店,0755-22914616,,,,https://shop70517443.taobao.com,,,0,辽宁,针织女,,4.93774分,51.04%,4.92477分,55.38%,4.92218分,51.24%,,,,,,,,,,
1804,深圳萱萱服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小晕红潮旗舰店"，"点我对话"),小晕红潮旗舰店,小晕红潮旗舰店,,,,,https://shop114604132.taobao.com,,,838039.00,辽宁,针织女,,4.86902分,0%,4.81497分,0%,4.82952分,0%,,,,,,,,,,
1805,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopp嚥mm"，"点我对话"),pp嚥mm,衣帽库品牌店,,,,,https://shop63567638.taobao.com,,,106174.00,辽宁,针织女,,4.75697,-0.80%,4.8078,-0.58%,4.8208分,0.44%,,,,,,,,,,
1806,深圳市云创服装设计有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomaxrieny旗舰店"，"点我对话"),maxrieny旗舰店,maxrieny旗舰店,,,,,https://shop114986041.taobao.com,,,0,辽宁,针织女,,4.94517分,56.89%,4.92345分,54.59%,4.9446分,65.28%,,,,,,,,,,
1807,深圳市豪黛服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao豪黛旗舰店"，"点我对话"),豪黛旗舰店,豪黛旗舰店,,,,,https://shop117812459.taobao.com,,,2727169.00,辽宁,针织女,,4.76432分,2.23%,4.73814分,1.93%,4.76403分,1.58%,,,,,,,,,,
1808,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoboybov"，"点我对话"),boybov,意界名尚,,,,,https://shop142617710.taobao.com,,,2380.00,辽宁,针织女,,4.9875,93.90%,4.9875,92.40%,4.9625分,76.28%,,,,,,,,,,
1809,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海威迩77"，"点我对话"),海威迩77,梦娜monnari,,,13172455614,,https://shop71197535.taobao.com,,,507192.00,辽宁,针织女,,4.79343分,0.10%,4.82451分,0.23%,4.84423分,1.38%,,,,,,,,,,
1810,福州市鼓楼区卿衣落服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoosa卿衣落专卖店"，"点我对话"),osa卿衣落专卖店,osa卿衣落专卖店,,,,,https://shop107328456.taobao.com,,,0,辽宁,针织女,,4.89472分,17.23%,4.88729分,33.14%,4.89147分,31.98%,,,,,,,,,,
1811,上海有梦国际贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoicy旗舰店"，"点我对话"),icy旗舰店,icy旗舰店,,,,,https://shop479195376.taobao.com,,,9407143.00,辽宁,针织女,,4.8826分,7.70%,4.87449分,25.54%,4.90798分,42.33%,,,,,,,,,,
1812,爱特爱服饰(深圳)有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoeitie服饰旗舰店"，"点我对话"),eitie服饰旗舰店,eitie服饰旗舰店,,,,,https://shop69850307.taobao.com,,,0,辽宁,针织女,,4.95171分,62.03%,4.92035分,52.75%,4.93473分,59.09%,,,,,,,,,,
1813,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao山下小帅哥"，"点我对话"),山下小帅哥,小帅哥家的时装店,,,,,https://shop111737423.taobao.com,,,26822.00,辽宁,针织女,,4.81568分,10.04%,4.8411分,3.33%,4.8411分,0.10%,,,,,,,,,,
1814,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao王其春xf"，"点我对话"),王其春xf,璀璨星,,,,,https://shop68789938.taobao.com,,,183772.00,辽宁,针织女,,4.83797分,20.91%,4.87089分,21.46%,4.87345分,19.88%,,,,,,,,,,
1815,深圳市贝洛安玛蕾娜服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贝洛安女装旗舰店"，"点我对话"),贝洛安女装旗舰店,贝洛安女装旗舰店,,,,,https://shop163312276.taobao.com,,,0,辽宁,针织女,,4.93362分,47.81%,4.90678分,44.70%,4.90254分,38.92%,,,,,,,,,,
1816,东莞市世娅电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao虹戈莉旗舰店"，"点我对话"),虹戈莉旗舰店,虹戈莉旗舰店,,,,,https://shop577771656.taobao.com,,,6455616.00,辽宁,针织女,,4.88224分,7.41%,4.77545分,1.16%,4.7944分,0.95%,,,,,,,,,,
1817,深圳市西遇时尚服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西遇服饰旗舰店"，"点我对话"),西遇服饰旗舰店,西遇服饰旗舰店,,,,,https://shop301063794.taobao.com,,,170336.00,辽宁,针织女,,4.876分,2.51%,4.86548分,20.20%,4.87619分,22.41%,,,,,,,,,,
1818,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北冰洋的来客"，"点我对话"),北冰洋的来客,北冰洋的来客,,,,,https://shop63940548.taobao.com,,,11314.41,辽宁,针织女,,4.84683分,25.24%,4.88556分,30.38%,4.88556分,27.55%,,,,,,,,,,
1819,广州启美电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao希凌梦旗舰店"，"点我对话"),希凌梦旗舰店,希凌梦旗舰店,,,,,https://shop240085845.taobao.com,,,25355.10,辽宁,针织女,,4.98491分,88.14%,4.97091分,82.74%,4.97198分,82.44%,,,,,,,,,,
1820,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao健行渐远5"，"点我对话"),健行渐远5,kol Studio,,,18681099227,,https://shop73027278.taobao.com,,,306559.00,辽宁,针织女,,4.86921分,36.16%,4.90625分,42.97%,4.92593分,53.11%,,,,,,,,,,
1821,深圳市育忠贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淑熙朵旗舰店"，"点我对话"),淑熙朵旗舰店,淑熙朵旗舰店,,,,,https://shop531121439.taobao.com,,,0,辽宁,针织女,,4.83769分,0.72%,4.84954分,10.74%,4.85786分,10.92%,,,,,,,,,,
1822,深圳市圣妮安娜服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojuamasszui旗舰店"，"点我对话"),juamasszui旗舰店,juamasszui旗舰店,,,,,https://shop475120619.taobao.com,,,869523.00,辽宁,针织女,,4.96963分,76.12%,4.95924分,75.82%,4.96484分,77.96%,,,,,,,,,,
1823,东莞市云奈电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧娅含旗舰店"，"点我对话"),欧娅含旗舰店,欧娅含旗舰店,,,,,https://shop346784000.taobao.com,,,0,辽宁,针织女,,4.94601分,57.55%,4.946分,67.97%,4.9497分,68.48%,,,,,,,,,,
1824,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoe_moonsun"，"点我对话"),e_moonsun,雨生谷raings,,,,,https://shop33462178.taobao.com,,,0,辽宁,针织女,,4.88647分,44.59%,4.91546分,48.57%,4.90338分,38.83%,,,,,,,,,,
1825,迪恩时装(深圳)有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萨拉迪恩旗舰店"，"点我对话"),萨拉迪恩旗舰店,萨拉迪恩旗舰店,,,,,https://shop72215450.taobao.com,,,1496693.00,辽宁,针织女,,4.93197分,46.51%,4.91254分,48.12%,4.92614分,53.71%,,,,,,,,,,
1826,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao厂家直销正品店"，"点我对话"),厂家直销正品店,立体珠花淑女衣橱,,,,,https://shop57033226.taobao.com,,,191368.00,辽宁,针织女,,4.96818分,84.47%,4.97727分,86.17%,4.97955分,87.05%,,,,,,,,,,
1827,常熟聚衣美服饰贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凤鹰旗舰店"，"点我对话"),凤鹰旗舰店,凤鹰旗舰店,,,,,https://shop377292917.taobao.com,,,383053.10,辽宁,针织女,,4.81862分,1.11%,4.77941分,1.08%,4.78683分,1.11%,,,,,,,,,,
1828,深圳欧西美特服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao媛佳人旗舰店"，"点我对话"),媛佳人旗舰店,媛佳人旗舰店,,,,,https://shop112127433.taobao.com,,,5157406.00,辽宁,针织女,,4.87369分,0.69%,4.84611分,8.71%,4.85785分,10.91%,,,,,,,,,,
1829,深圳优利昂贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobomovo旗舰店"，"点我对话"),bomovo旗舰店,bomovo旗舰店,,,,,https://shop67644161.taobao.com,,,0,辽宁,针织女,,4.92945分,44.52%,4.87713分,27.12%,4.89214分,32.42%,,,,,,,,,,
1830,深圳市金绒达针织服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshiningcrown女装旗舰店"，"点我对话"),shiningcrown女装旗舰店,shiningcrown女装旗舰店,,,,,https://shop112193202.taobao.com,,,981970.00,辽宁,针织女,,4.92398分,40.22%,4.89181分,35.83%,4.92398分,52.37%,,,,,,,,,,
1831,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao精致女人坊60"，"点我对话"),精致女人坊60,省嫂家居,,,,,https://shop105003876.taobao.com,,,0,辽宁,针织女,,4.73448分,-1.26%,4.77409分,-1.27%,4.791分,-1.05%,,,,,,,,,,
1832,深圳市共创意网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao邑品旗舰店"，"点我对话"),邑品旗舰店,邑品旗舰店,,,,,https://shop106451054.taobao.com,,,0,辽宁,针织女,,4.91457分,32.83%,4.89359分,36.87%,4.90386分,39.75%,,,,,,,,,,
1833,深圳市天尚服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoevaouxiu旗舰店"，"点我对话"),evaouxiu旗舰店,evaouxiu旗舰店,,,,,https://shop64674580.taobao.com,,,3599904.00,辽宁,针织女,,4.89107分,14.34%,4.8533分,12.99%,4.8764分,22.56%,,,,,,,,,,
1834,深圳市梁子时装实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotangy天意旗舰店"，"点我对话"),tangy天意旗舰店,tangy天意旗舰店,,,,,https://shop63253551.taobao.com,,,6900386.00,辽宁,针织女,,4.93338分,47.62%,4.89887分,40.01%,4.89921分,36.83%,,,,,,,,,,
1835,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚橱窗e99"，"点我对话"),时尚橱窗e99,Angel's wings are li,,,,,https://shop108978197.taobao.com,,,0,辽宁,针织女,,4.94216分,71.77%,4.94902分,68.99%,4.95098分,68.96%,,,,,,,,,,
1836,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冉氏外贸服饰"，"点我对话"),冉氏外贸服饰,冉姐外贸大码服装店,,,,,https://shop67347865.taobao.com,,,27992.00,辽宁,针织女,,4.94167分,71.53%,4.95813分,74.53%,4.95062分,68.74%,,,,,,,,,,
1837,中山市依之琳服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天使姿恋旗舰店"，"点我对话"),天使姿恋旗舰店,天使姿恋旗舰店,,,,,https://shop107282632.taobao.com,,,4093562.00,辽宁,针织女,,4.89977分,21.18%,4.83697分,3.30%,4.84413分,2.34%,,,,,,,,,,
1838,深圳市书蕾贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梵蜜媞旗舰店"，"点我对话"),梵蜜媞旗舰店,梵蜜媞旗舰店,,,,,https://shop213550401.taobao.com,,,0,辽宁,针织女,,4.9062分,26.25%,4.87994分,28.78%,4.88694分,29.14%,,,,,,,,,,
1839,广州介夫贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao龙方丽裳旗舰店"，"点我对话"),龙方丽裳旗舰店,龙方丽裳旗舰店,,,,,https://shop198782212.taobao.com,,,0,辽宁,针织女,,4.84667分,0.54%,4.84383分,7.37%,4.83851分,0%,,,,,,,,,,
1840,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyuanye_joy8"，"点我对话"),yuanye_joy8,mesz迷尚,,,,,https://shop35389120.taobao.com,,,0,辽宁,针织女,,4.93515分,68.35%,4.95222分,70.93%,4.96928分,80.55%,,,,,,,,,,
1841,乐悠(广州)服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao言萃旗舰店"，"点我对话"),言萃旗舰店,言萃旗舰店,,,,,https://shop449109661.taobao.com,,,789518.00,辽宁,针织女,,4.82067分,1.07%,4.79826分,0.69%,4.80697分,0.69%,,,,,,,,,,
1842,深圳市爱飞象教育文化传播有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诗丹狐狸旗舰店"，"点我对话"),诗丹狐狸旗舰店,诗丹狐狸旗舰店,,,,,https://shop131284668.taobao.com,,,10311167.90,辽宁,针织女,,4.7894分,1.71%,4.67869分,3.16%,4.70787分,2.74%,,,,,,,,,,
1843,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqueen绝非偶然"，"点我对话"),queen绝非偶然,SEVEN欧洲站定制,,,,,https://shop110376767.taobao.com,,,121960.00,辽宁,针织女,,4.70166分,-1.95%,4.77672分,-1.22%,4.80105分,-0.85%,,,,,,,,,,
1844,深圳市创潮服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozvbv旗舰店"，"点我对话"),zvbv旗舰店,zvbv旗舰店,,,,,https://shop396855691.taobao.com,,,2735760.00,辽宁,针织女,,4.89606分,18.28%,4.85533分,14.18%,4.8662分,16.14%,,,,,,,,,,
1845,深圳市菲西娅服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲西娅女装旗舰店"，"点我对话"),菲西娅女装旗舰店,菲西娅女装旗舰店,,,,,https://shop70253867.taobao.com,,,0,辽宁,针织女,,4.90329分,23.96%,4.86129分,17.71%,4.88323分,26.82%,,,,,,,,,,
1846,深圳影恩诗电子商务科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诗篇官方outlets店"，"点我对话"),诗篇官方outlets店,诗篇官方outlets店,,,,,https://shop247116981.taobao.com,,,193541.00,辽宁,针织女,,4.90667分,26.62%,4.8828分,30.47%,4.90939分,43.21%,,,,,,,,,,
1847,深圳菲迪雅丝服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲迪雅丝旗舰店"，"点我对话"),菲迪雅丝旗舰店,菲迪雅丝旗舰店,0755-33370738,,,,https://shop116463426.taobao.com,,,681576.00,辽宁,针织女,,4.92988分,44.87%,4.9202分,52.66%,4.9202分,49.99%,,,,,,,,,,
1848,深圳市诚天瑞网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofleurwood旗舰店"，"点我对话"),fleurwood旗舰店,fleurwood旗舰店,,,,,https://shop453188259.taobao.com,,,0,辽宁,针织女,,4.89853分,20.22%,4.88254分,30.32%,4.90386分,39.75%,,,,,,,,,,
1849,深圳市乐轩服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobananababy旗舰店"，"点我对话"),bananababy旗舰店,bananababy旗舰店,0755-88850282-823,,,,https://shop102024330.taobao.com,,,0,辽宁,针织女,,4.81994分,1.09%,4.83224分,0%,4.842分,0.98%,,,,,,,,,,
1850,汉扬服装（深圳）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao钡萱旗舰店"，"点我对话"),钡萱旗舰店,钡萱旗舰店,0755-25212361,,,,https://shop102106822.taobao.com,,,0,辽宁,针织女,,4.92509分,41.10%,4.91117分,47.30%,4.94187分,63.57%,,,,,,,,,,
1851,深圳市纤曼悠服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纤曼悠旗舰店"，"点我对话"),纤曼悠旗舰店,纤曼悠旗舰店,,,,,https://shop188897416.taobao.com,,,0,辽宁,针织女,,4.96093分,69.28%,4.95398分,72.70%,4.95851分,74.00%,,,,,,,,,,
1852,深圳市千寻宜电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoonebuye服饰旗舰店"，"点我对话"),onebuye服饰旗舰店,onebuye服饰旗舰店,,,,,https://shop115034171.taobao.com,,,0,辽宁,针织女,,4.92386分,40.14%,4.92869分,57.70%,4.93566分,59.68%,,,,,,,,,,
1853,杭州嘉爱服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoechydin逸新町旗舰店"，"点我对话"),echydin逸新町旗舰店,echydin逸新町旗舰店,,,,,https://shop69191773.taobao.com,,,32467.00,辽宁,针织女,,4.89074分,14.10%,4.85128分,11.78%,4.86121分,13.02%,,,,,,,,,,
1854,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolctkk2008"，"点我对话"),lctkk2008,佛系女孩ins,,,,,https://shop102561896.taobao.com,,,93114.00,辽宁,针织女,,4.9375分,69.49%,4.95417分,72.12%,4.94167分,63.07%,,,,,,,,,,
1855,苏州波克斑商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao月光媞旗舰店"，"点我对话"),月光媞旗舰店,月光媞旗舰店,,,,,https://shop247017609.taobao.com,,,0,辽宁,针织女,,4.93429分,48.34%,4.93395分,60.82%,4.93696分,60.49%,,,,,,,,,,
1856,,三金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣水无痕"，"点我对话"),圣水无痕,MIUCO专注高品质快时,,,,,https://shop64836356.taobao.com,,,597322.00,辽宁,针织女,,4.80165分,3.19%,4.84143分,3.53%,4.84109分,0.10%,,,,,,,,,,
1857,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪之舞1902"，"点我对话"),雪之舞1902,snow dance自制女装,,,18107258867,,https://shop63766389.taobao.com,,,1941.00,辽宁,针织女,,4.76642分,-0.60%,4.79666分,-0.80%,4.80709分,-0.72%,,,,,,,,,,
1858,中江(深圳)贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻薇拉旗舰店"，"点我对话"),蔻薇拉旗舰店,蔻薇拉旗舰店,,,,,https://shop358624173.taobao.com,,,5102945.00,辽宁,针织女,,4.91806分,35.58%,4.8637分,19.14%,4.87843分,23.81%,,,,,,,,,,
1859,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocjiebinbn"，"点我对话"),cjiebinbn,韩e梦,,,,,https://shop103324833.taobao.com,,,88283.00,辽宁,针织女,,4.89256分,47.56%,4.91736分,49.73%,4.94215分,63.37%,,,,,,,,,,
1860,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao快乐的大脚o"，"点我对话"),快乐的大脚o,XIAOWEI 潮流女装,null,,,,https://shop67345601.taobao.com,,,37584.00,辽宁,针织女,,4.64537分,-3.12%,4.70383分,-2.73%,4.72077分,-2.50%,,,,,,,,,,
1861,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漫琪服饰520"，"点我对话"),漫琪服饰520,漫琪大小姐,,,,,https://shop106466312.taobao.com,,,0,辽宁,针织女,,4.87823分,40.60%,4.91513分,48.41%,4.91882分,48.65%,,,,,,,,,,
1862,深圳新优美贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优衣美女装旗舰店"，"点我对话"),优衣美女装旗舰店,优衣美女装旗舰店,,,,,https://shop162462099.taobao.com,,,0,辽宁,针织女,,4.92805分,43.43%,4.90188分,41.79%,4.90842分,42.60%,,,,,,,,,,
1863,深圳秒呗网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朵维尔米服饰旗舰店"，"点我对话"),朵维尔米服饰旗舰店,朵维尔米服饰旗舰店,,,,,https://shop319882595.taobao.com,,,31237.00,辽宁,针织女,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
1864,深圳市伊莉莎服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomiucooutlets店"，"点我对话"),miucooutlets店,miucooutlets店,,,,,https://shop286554862.taobao.com,,,73337.00,辽宁,针织女,,4.85446分,0%,4.85731分,15.35%,4.8755分,21.97%,,,,,,,,,,
1865,深圳市际通网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恩格贝绒旗舰店"，"点我对话"),恩格贝绒旗舰店,恩格贝绒旗舰店,,,,,https://shop517857378.taobao.com,,,3253682.00,辽宁,针织女,,4.91134分,30.29%,4.87881分,28.11%,4.89393分,33.52%,,,,,,,,,,
1866,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮葩1688"，"点我对话"),潮葩1688,潮葩1688,,,,,https://shop112715080.taobao.com,,,0,辽宁,针织女,,4.82754分,15.82%,4.85318分,10.68%,4.86228分,12.81%,,,,,,,,,,
1867,广州市时威堡电子科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao情乐谷旗舰店"，"点我对话"),情乐谷旗舰店,情乐谷旗舰店,,,,,https://shop252677883.taobao.com,,,0,辽宁,针织女,,4.84584分,0.55%,4.80875分,0%,4.82573分,0%,,,,,,,,,,
1868,深圳市红雀飞婚庆用品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao禾果服饰旗舰店"，"点我对话"),禾果服饰旗舰店,禾果服饰旗舰店,,,,,https://shop426959650.taobao.com,,,15966.00,辽宁,针织女,,5.0分,100%,4.99464分,96.82%,4.99643分,97.76%,,,,,,,,,,
1869,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿曼服饰315"，"点我对话"),阿曼服饰315,帕霏 原创女装,,,,,https://shop104135091.taobao.com,,,820808.00,辽宁,针织女,,4.84825分,25.98%,4.87971分,26.88%,4.88207分,25.40%,,,,,,,,,,
1870,深圳市欧调服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧调旗舰店"，"点我对话"),欧调旗舰店,欧调旗舰店,,,,,https://shop106748663.taobao.com,,,2440285.00,辽宁,针织女,,4.91162分,30.51%,4.87093分,23.43%,4.87941分,24.42%,,,,,,,,,,
1871,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotaihualuoxu"，"点我对话"),taihualuoxu,薇姿欧美时尚馆,,,,,https://shop100861091.taobao.com,,,2907682.00,辽宁,针织女,,4.73842分,-1.18%,4.78326分,-1.08%,4.80419分,-0.78%,,,,,,,,,,
1872,深圳市伊韵菡贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪妮薇旗舰店"，"点我对话"),雪妮薇旗舰店,雪妮薇旗舰店,,,,,https://shop253656799.taobao.com,,,6238613.00,辽宁,针织女,,4.90083分,22.03%,4.85932分,16.55%,4.86906分,17.94%,,,,,,,,,,
1873,广州易维素商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莱瑞彤旗舰店"，"点我对话"),莱瑞彤旗舰店,莱瑞彤旗舰店,,,,,https://shop231139514.taobao.com,,,48001.00,辽宁,针织女,,4.96984分,76.29%,4.96607分,79.87%,4.97267分,82.87%,,,,,,,,,,
1874,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoray1981523"，"点我对话"),ray1981523,汤小鸟的鸟窝窝 小鸟,,0755-26524227,,,https://shop34983692.taobao.com,,,0,辽宁,针织女,,4.91238分,57.23%,4.94089分,64.04%,4.95063分,68.74%,,,,,,,,,,
